URL de origen,URL de destino,Texto del enlace
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/academico,Académico
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/internacional,Internacional
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/arte-cultura,Arte y Cultura
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/comunidad,Comunidad
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/audiovisual,Audiovisual
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/cat/podcast,Podcast
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/la-untref-marcho-en-defensa-de-la-universidad-publica,"








                                La UNTREF marchó en defensa de la universidad pública
            
 Autoridades, estudiantes, graduados, Nodocentes, docentes e investigadores de la institución participaron de la Marcha Federal Universitaria  y dieron su respaldo a la educación pública como herramienta identitaria de la sociedad argentina. 


"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/consumo-problematico-de-juegos-y-apuestas-una-droga-digital-para-los-jovenes,"







                                                Consumo problemático de juegos y apuestas, una “droga digital” para los jóvenes
                    
 Con el objetivo de concientizar sobre este fenómeno que atraviesa a adolescentes de diferentes edades, la UNTREF organizó, desde la articulación que impulsa con escuelas secundarias, una jornada de capacitación para docentes de enseñanza media. 

"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/la-untref-fue-sede-de-la-semana-de-las-artes,"







                                                La UNTREF fue sede de la Semana de las Artes 
                    
 Durante dos jornadas consecutivas, alumnas y alumnos de más de 50 instituciones de educación primaria y secundaria de la Región Educativa VII presentaron sus proyectos artístico-pedagógicos en las instalaciones de la Universidad. 

"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/expountref-mas-de-1500-visitantes-y-un-fuerte-respaldo-a-la-educacion-publica,"







                                                ExpoUNTREF: más de 1500 visitantes y un fuerte respaldo a la educación pública
                    
 La tradicional jornada de puertas abiertas tuvo su edición récord con 1512 asistentes de 62 escuelas públicas y privadas de Buenos Aires, Capital Federal y localidades del interior. 

"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/tags/bienalsur,Bienalsur
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/lanzaron-la-convocatoria-abierta-internacional-rumbo-a-bienalsur-2025,"


														Lanzaron la convocatoria abierta internacional Rumbo a BIENALSUR 2025
						
 Del 4 de marzo al 15 de abril del 2024 podrán presentarse online los proyectos artísticos y/o curatoriales a través de una plataforma en español y en inglés.
"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/espana-y-bienalsur-una-reflexion-critica-sobre-la-actualidad-desde-la-mirada-del-arte,"


														España y BIENALSUR: Una reflexión crítica sobre la actualidad desde la mirada del arte
						
 Las inauguraciones realizadas en España dieron cuenta a lo largo de este año de una mirada anti canónica que invita a reflexionar sobre las realidades urgentes del presente y propone una mirada crítica a través del arte y la imagen. 
"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/la-untref-lleva-la-bienalsur-a-la-asamblea-anual-de-la-unesco,"


														La UNTREF lleva la BIENALSUR  a la Asamblea Anual de la UNESCO
						
  La plataforma artística y cultural de la Universidad ofrece un aporte preponderante en la actividad que se desarrolla desde el 7 de noviembre.
"
https://untref.edu.ar/mundountref,https://untref.edu.ar/mundountref/tags/,"

"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/administracion-de-empresas,"
Administración de Empresas
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/administracion-publica,"
Administración Pública
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/administracion-y-gestion-de-politicas-sociales,"
Administración y Gestión de Políticas Sociales
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/ajedrez,"
Ajedrez
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/alumnos,"
Alumnos
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/america-latina,"
América Latina
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/arte,"
Arte
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/artes-del-circo,"
Artes del Circo
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/artes-electronicas,"
Artes Electrónicas
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/becas,"
Becas
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/biblioteca-y-centros-de-documentacion,"
Biblioteca y Centros de Documentación
"
https://untref.edu.ar/mundountref/tags/,https://untref.edu.ar/mundountref/tags/carrera-tag-test,"
carrera tag
"
